851,431
174,985
851,374
396,81
297,938
273,578
954,748
553,49
829,535
137,676
128,180
690,97
152,501
522,685
506,12
473,420
733,589
299,172
366,277
41,704
582,156
977,990
35,304
350,292
205,637
168,413
819,530
135,32
206,109
642,147
15,355
235,404
345,915
562,925
939,991
749,973
508,502
11,95
110,278
462,519
753,260
860,481
84,391
978,473
274,291
968,399
797,678
154,72
165,610
829,504
196,742
239,980
48,865
79,882
994,896
209,201
920,360
701,787
299,558
826,465
362,589
856,493
368,413
658,309
845,260
652,54
610,660
354,195
410,35
430,574
969,482
705,729
860,941
805,314
246,607
877,245
537,62
80,483
987,871
708,220
361,600
523,240
342,126
335,330
969,182
173,48
341,781
137,271
930,463
171,204
31,331
698,768
62,924
774,849
944,396
317,298
523,931
247,71
669,531
464,337
632,82
894,332
492,242
604,704
166,861
36,287
602,319
237,593
159,548
50,508
848,157
851,857
623,952
867,351
563,470
133,385
543,234
491,845
101,127
574,913
191,331
670,15
311,345
166,311
478,283
91,227
826,349
657,916
654,444
996,831
297,545
725,475
995,257
495,671
54,790
110,338
960,260
617,483
1,62
278,999
767,428
317,193
756,656
908,933
758,969
988,687
515,256
746,215
872,860
541,818
663,67
310,400
728,70
0,332
2,173
565,858
791,532
941,9
320,398
406,992
943,975
210,683
782,178
266,224
461,833
917,219
974,869
89,452
100,568
847,994
324,35
806,34
57,852
5,813
585,245
602,470
127,767
754,674
988,325
420,33
122,527
108,749
602,972
797,566
713,27
62,642
930,314
40,31
145,183
991,339
196,519
972,184
368,916
435,261
362,761
145,642
789,27
934,507
948,518
921,633
